course_name,course_url,course_logo_url,category,difficulty,description,rating,enrollment_count
L'entrepreneuriat social: faire son business plan,https://www.coursera.org/learn/monde-action,https://s3.amazonaws.com/coursera-course-photos/92/5cdf904df011e89c6433e3941724cb/vignette-MANAGEMENT-ET-SOCIETE.jpg,Business Modeling,MIXED,"Market Research, Business Planning, Entrepreneurship, Performance Measurement, Stakeholder Engagement, Business Strategy, Needs Assessment, Social Work, Target Audience, Goal Setting, Governance, Fundraising, Financial Planning",4.6,121
Creative Programming for Digital Media & Mobile Apps,https://www.coursera.org/learn/digitalmedia,https://s3.amazonaws.com/coursera-course-photos/60/ae3ac748c777c91d49c08e9a329b79/GoldComputing3.jpg,User Interface (UI),MIXED,"Interactive Design, Computer Graphics, Mobile Development, Visualization (Computer Graphics), Application Development, Multimedia, Computer Programming, Java, Programming Principles, Program Development, Image Analysis",4.1,55
Lesson | Video Conferencing: Face to Face but Online,https://www.coursera.org/learn/lesson-video-conferencing-face-to-face-but-online,https://s3.amazonaws.com/coursera-course-photos/6e/57b3c034c211e6b0ee8f39a2528cfb/199356_Speak_Eng_Prof_Icon.jpg,Verbal Communication Skills,MIXED,"Communication, Digital Communications, Virtual Environment",4.2,35
Planning for Climate Change in African Cities,https://www.coursera.org/learn/climate-change-africa,https://s3.amazonaws.com/coursera-course-photos/87/ea5be00d7411e7b960ad1829e89794/26799_logo_course_topic_800x800_2.jpg,Environmental Policy,INTERMEDIATE,"Mitigation, Policy Analysis, Natural Resource Management, Decision Support Systems, Environment, Environment and Resource Management, Governance, Vulnerability, Systems Thinking, Socioeconomics, Spatial Analysis",4.7,124
Valuation for Startups Using Multiple Approach,https://www.coursera.org/learn/valuation-multiples,https://s3.amazonaws.com/coursera-course-photos/69/ccd9d065a911e6831df73e4ac0280d/iStock_68874599_SMALL.jpg,Financial Statements,BEGINNER,"Financial Statement Analysis, Business Valuation, Income Statement, Entrepreneurial Finance, Balance Sheet, Cash Flows, Financial Analysis, Financial Modeling, Business Metrics, Financial Forecasting",4.2,94
Integración y preparación de datos,https://www.coursera.org/learn/integracion-y-preparacion-de-datos,https://s3.amazonaws.com/coursera-course-photos/fd/217296a1c343859fce7617c819036c/EX21MCDINPRED-800-X-800.png,Data Integration,BEGINNER,"Data Quality, Exploratory Data Analysis, Data Transformation, Data Cleansing, Data Manipulation, Jupyter, Data Compilation, Data Visualization, Data Analysis, Data Science, Predictive Modeling, Data Validation, Python Programming",4.9,91
مهارات التفكير التأملي | Reflective Thinking Skills,https://www.coursera.org/learn/reflective-thinking-skills,https://s3.amazonaws.com/coursera-course-photos/af/66c979b9ce48618db9490902e9dc56/shutterstock_691359247.jpg,Lifelong Learning,BEGINNER,"Critical Thinking, Personal Development, Professional Development, Self-Awareness, Creative Thinking, Open Mindset, Analytical Skills, Problem Solving, Human Learning",4.9,1034
Create a Custom Marketing Analytics Dashboard in Data Studio,https://www.coursera.org/projects/marketing-analytics-dashboard-google-data-studio,https://s3.amazonaws.com/coursera-course-photos/84/edae47f3fa4b669eb4aeca1e21e617/Automating-Sales-Tasks-Using-Zapier-3-.jpg,Data Visualization,INTERMEDIATE,"Data Presentation, Business Analytics, Dashboard, Data Analysis, Data Storytelling, Google Analytics, Marketing Analytics, Business Metrics, Data Integration",4.5,111
Foundations of Health Equity Research,https://www.coursera.org/learn/health-equity-research,https://s3.amazonaws.com/coursera-course-photos/a4/a9fdb767824e98b856852391248b4b/innovMethHealthEq-Foundations-of-Innovative-Methods-in-Health-Equity-Research-Logo-V3-07.png,Health Care,BEGINNER,"Community Outreach, Health Systems, Social Justice, Community Development, Patient Education and Support, Research, Diversity Equity and Inclusion Initiatives, Research Methodologies, Policy Analysis, Advocacy, Cultural Diversity, Media and Communications, Cultural Sensitivity",4.8,166
Requirements Specifications: Goals and Conflict Analysis,https://www.coursera.org/learn/requirements-specification-goals,https://s3.amazonaws.com/coursera-course-photos/f7/c61f2420fa47cf953c48a9fe9dbebb/Requirements-Specifications_-Goals-and-Conflict-Analysis.png,Requirements Analysis,BEGINNER,"Security Requirements Analysis, Requirements Elicitation, Functional Requirement, Goal Setting, Unified Modeling Language, Meeting Facilitation, Conflict Management, Risk Analysis, User Story, Stakeholder Engagement, Negotiation",4.7,62
Understanding the Australian economy: An introduction to macroeconomic and financial policies,https://www.coursera.org/learn/australian-economy,https://s3.amazonaws.com/coursera-course-photos/04/6aa40a645c4adabfeb6f753b5a299b/shutterstock_461494093.jpg,Economics,MIXED,"Financial Policy, Economics, Policy, and Social Studies, Fiscal Management, International Finance, Public Policies, Financial Market, Policy Analysis, Supply And Demand, Banking, Crisis Management",4.5,60
Introduction to Semiconductor Devices 2,https://www.coursera.org/learn/semiconductor-2,https://s3.amazonaws.com/coursera-course-photos/9c/c46d5018cc41d0b4e6b2ee0401382d/kosera_igeonjae_Intorduction-to-Semiconductor-Devices-2.jpg,Semiconductors,INTERMEDIATE,"Electronic Components, Display Devices, Electronic Systems, Data Storage Technologies",4.6,48
Teoria Geral da Administração para Executivos,https://www.coursera.org/learn/tga-executivos,https://s3.amazonaws.com/coursera-course-photos/e7/4c3450c61611e6b0edc5cecedbb0e5/Teoria-Geral-da-Administra__o-para-Executivos_800px.png,Quality Improvement,BEGINNER,"Quality Management, Administration, Business Management, Business Administration, Organizational Effectiveness, Leadership and Management, Operational Efficiency, Operations Management, Organizational Structure, Production Management, Performance Improvement, Systems Thinking, Lean Manufacturing, Knowledge Transfer",4.5,54
Population Health: Study Design,https://www.coursera.org/learn/population-health-study-design,https://s3.amazonaws.com/coursera-course-photos/fc/e699f1d90e43d980200dd56fbdab43/Coursera-elements-STUD.png,Data Analysis,INTERMEDIATE,"Research Design, Epidemiology, Statistical Analysis, Clinical Research, Biostatistics, Quantitative Research, Probability & Statistics, Research Methodologies, Risk Analysis",4.2,20
Clase interactivas y dinámicas en Classroom,https://www.coursera.org/projects/clase-interactivas-dinamicas-classroom,https://s3.amazonaws.com/coursera-course-photos/e1/63877a39094487a8152a4d262ae3a2/classroom-imagen.jpg,Google Workspace,BEGINNER,"Educational Materials, Instructional Design, Virtual Environment, Organizational Skills, Content Management, Planning",4.9,157
Cognición encarnada,https://www.coursera.org/learn/cognicion,https://s3.amazonaws.com/coursera-course-photos/40/122a1265594627a60ff8540ca6e28c/IA_8.jpg,Artificial Intelligence,BEGINNER,"Social Sciences, Psychology, Human Learning, Human Factors, Machine Learning Methods, Scientific Methods, Science and Research, Writing",4.6,41
ESG Investing: Industry Impacts & Transformations,https://www.coursera.org/learn/esg-investing-industry-impacts-transformations,https://s3.amazonaws.com/coursera-course-photos/66/378e86a10345768bd8da04ff69bac4/ESG-Industry-Impacts-800x800.jpg,Environmental Social And Corporate Governance (ESG),BEGINNER,"Financial Market, Market Trend, Market Analysis, Investments, Corporate Sustainability, Governance, Environmental Issue, Transportation Operations, Portfolio Management, Credit Risk, Business Transformation, Emerging Technologies",4.6,20
